Состояние,Alg1_Частота,Alg2_Доля,Alg2_Время,Теоретическое_π,Alg1_Ошибка,Alg2_Ошибка
Ясно,0.5600,0.4821,46.86,0.5225,0.0375,0.0405
Облачно,0.3200,0.2550,27.58,0.3153,0.0047,0.0603
Пасмурно,0.1200,0.2629,25.56,0.1622,0.0422,0.1008
