Состояние,Alg1_Частота,Alg2_Доля,Alg2_Время,Теоретическое_π,Alg1_Ошибка,Alg2_Ошибка
Ясно,0.2740,0.2736,99.88,0.2564,0.0176,0.0172
Облачно,0.2710,0.3413,124.57,0.2821,0.0111,0.0592
Пасмурно,0.4550,0.3851,140.56,0.4615,0.0065,0.0765
